X,Y,Nome,Norte(m),Leste(m),Elevação,ID,Ondulaçã,Alt_Ortome,Fev2021dH(,Fev2021dN(,Fev2021dE(,icon_url
-35.7435017286954,-9.62896607139155,DG01,8934403.311,198880.327,47.934,"1",-8.940000000000000,56.874,"-8","-11","-7",./0.png
-35.7461364353627,-9.63511045596489,DG02,8933720.918,198596.396,46.657,"2",-8.957879999999999,55.615,"-207","4","-112",./0.png
-35.7435266995051,-9.63186102211809,DG03,8934082.871,198880.153,46.023,"3",-8.949479999999999,54.972,"-42","-12","-53",./0.png
-35.7454505059027,-9.63732287566598,DG04,8933476.648,198673.701,46.723,"4",-8.960000000000004,55.683,"-162","29","-126",./0.png
-35.7415823914514,-9.63409870974225,DG05,8933836.912,199095.693,39.891,"5",-8.950450000000000,48.841,"-17","0","-16",./0.png
-35.7395974638396,-9.63277854668764,DG06,8933984.776,199312.538,45.570,"6",-8.951219999999999,54.521,"-1","0","-4",./0.png
-35.7505779207706,-9.62927557922489,DG07,8934362.816,198103.371,-2.094,"7",-8.937279999999999,6.843,"-193","-76","33",./0.png
-35.7403770474202,-9.63901911713387,DG08,8933293.375,199232.446,44.671,"8",-8.964420000000000,53.635,"-11","0","-11",./0.png
-35.7435636437895,-9.64068654919308,DG09,8933106.014,198883.931,44.894,"9",-8.970000000000002,53.864,"-12","4","-3",./0.png
-35.7444383748917,-9.64348816415296,DG10,8932795.155,198790.346,-0.667,"10",-8.979240000000004,8.312,"-12","3","1",./0.png
-35.7410643223803,-9.64449256854975,DG11,8932686.960,199161.818,45.668,"11",-8.980000000000000,54.648,"-7","3","0",./0.png
-35.74648530144,-9.62458588753318,DG12,8934885.490,198548.730,32.677,"12",-8.921250000000002,41.598,"-12","-2","0",./0.png
-35.7470854057804,-9.62767436934011,DG13,8934543.122,198485.558,6.824,"13",-8.930000000000000,15.754,"-20","-9","-3",./0.png
-35.7498364406078,-9.6275363697682,DG14,8934555.970,198183.267,1.506,"14",-8.930000000000000,10.436,"-24","-11","4",./0.png
-35.7517224958008,-9.62413926476974,DG15,8934930.305,197973.084,-2.129,"15",-8.920000000000000,6.791,"-29","13","3",./0.png
-35.7551912836531,-9.62525920894533,DG16,8934803.283,197593.071,-1.734,"16",-8.920000000000000,7.186,"-39","-1","7",./0.png
-35.7482225077757,-9.63617741072701,Mina01,8933600.985,198368.220,-4.046,"17",-8.959560000000000,4.914,"-347","17","-62",./0.png
-35.7493097940757,-9.63408712200594,Mina04,8933831.383,198246.938,-3.930,"18",-8.950659999999999,5.021,"-405","2","-13",./0.png
-35.7458286122931,-9.63119191474801,Mina06,8934154.901,198626.725,44.991,"19",-8.947300000000000,53.938,"-158","-44","-123",./0.png
-35.7501984572121,-9.63426724502345,Mina07,8933810.662,198149.491,-6.047,"20",-8.949999999999999,2.903,"-388","21","18",./0.png
-35.7509688480878,-9.63141396829696,Mina09,8934125.789,198062.335,-5.488,"21",-8.940000000000000,3.452,"-340","-45","37",./0.png
-35.7457079039081,-9.64030471803572,Mina11,8933146.385,198648.080,-1.535,"22",-8.970000000000002,7.435,"-90","31","-56",./0.png
-35.7488235771872,-9.63173220915559,Mina16,8934092.459,198298.248,26.512,"23",-8.940000000000000,35.452,"-378","-48","-52",./0.png
-35.7485882226189,-9.63216008000045,Mina17,8934045.309,198324.479,24.800,"24",-8.940540000000000,33.741,"-322","-28","-47",./0.png
-35.7496963081063,-9.63576873576609,Mina20,8933644.917,198205.981,-5.827,"25",-8.950730000000000,3.124,"-382","29","17",./0.png
-35.7513751623777,-9.63012996249541,Mina32,8934267.547,198016.564,-4.835,"26",-8.939500000000002,4.105,"-242","-71","52",./0.png
-35.7490077668539,-9.63699926706502,Mina35,8933509.327,198282.702,-6.173,"27",-8.957730000000000,2.785,"-352","63","-9",./0.png
